Horsepower,Weight,MPG,Origin
88,3270,19,France
108,2930,19,Japan
120,3820,16.5,Germany
180,4380,16.5,USA
145,4055,13,USA
130,3870,13,USA
150,3755,13,USA
68,2045,31.5,Japan
80,2155,30,USA
58,1825,36,France
96,2300,25.5,USA
70,1945,33.5,Japan
145,3880,17.5,USA
110,4060,17,USA
145,4140,15.5,USA
130,4295,15,USA
110,3520,17.5,USA
105,3425,20.5,USA
100,3630,19,USA
98,3525,18.5,USA
180,4220,16,USA
170,4165,15.5,USA
190,4325,15.5,USA
149,4335,16,USA
78,1940,29,Germany
88,2740,24.5,USA
75,2265,26,Japan
89,2755,25.5,USA
63,2051,30.5,USA
83,2075,33.5,USA
67,1985,30,Japan
78,2190,30.5,Germany
97,2815,22,Japan
110,2600,21.5,Germany
110,2720,21.5,Japan
48,1985,43.1,Germany
66,1800,36.1,USA
52,1985,32.8,Japan
70,2070,39.4,Japan
60,1800,36.1,Japan
110,3365,19.9,USA
140,3735,19.4,USA
139,3570,20.2,USA
105,3535,19.2,USA
95,3155,20.5,USA
85,2965,20.2,USA
88,2720,25.1,USA
100,3430,20.5,USA
90,3210,19.4,USA
105,3380,20.6,USA
85,3070,20.8,USA
110,3620,18.6,USA
120,3410,18.1,USA
145,3425,19.2,USA
165,3445,17.7,USA
139,3205,18.1,USA
140,4080,17.5,USA
68,2155,30,USA
95,2560,27.5,Japan
97,2300,27.2,Japan
75,2230,30.9,USA
95,2515,21.1,Japan
105,2745,23.2,USA
85,2855,23.8,USA
97,2405,23.9,Japan
103,2830,20.3,Germany
125,3140,17,Sweden
115,2795,21.6,Sweden
133,3410,16.2,France
71,1990,31.5,Germany
68,2135,29.5,Japan
115,3245,21.5,USA
85,2990,19.8,USA
88,2890,22.3,USA
90,3265,20.2,USA
110,3360,20.6,USA
130,3840,17,USA
129,3725,17.6,USA
138,3955,16.5,USA
135,3830,18.2,USA
155,4360,16.9,USA
142,4054,15.5,USA
125,3605,19.2,USA
150,3940,18.5,USA
71,1925,31.9,Germany
65,1975,34.1,Japan
80,1915,35.7,USA
80,2670,27.4,USA
77,3530,25.4,Germany
125,3900,23,USA
71,3190,27.2,France
90,3420,23.9,USA
70,2200,34.2,USA
70,2150,34.5,USA
65,2020,31.8,Japan
69,2130,37.3,Italy
90,2670,28.4,USA
115,2595,28.8,USA
115,2700,26.8,USA
90,2556,33.5,USA
76,2144,41.5,Germany
60,1968,38.1,Japan
70,2120,32.1,USA
65,2019,37.2,Japan
90,2678,28,USA
88,2870,26.4,USA
90,3003,24.3,USA
90,3381,19.1,USA
78,2188,34.3,Germany
90,2711,29.8,Japan
75,2542,31.3,Japan
92,2434,37,Japan
75,2265,32.2,Japan
65,2110,46.6,Japan
105,2800,27.9,USA
65,2110,40.8,Japan
48,2085,44.3,Germany
48,2335,43.4,Germany
67,2950,36.4,Germany
67,3250,30,Germany
67,1850,44.6,Japan
NaN,1835,40.9,France
67,2145,33.8,Japan
62,1845,29.8,Germany
132,2910,32.7,Japan
100,2420,23.7,Japan
88,2500,35,England
NaN,2905,23.6,USA
72,2290,32.4,Japan
84,2490,27.2,USA
84,2635,26.6,USA
92,2620,25.8,USA
110,2725,23.5,USA
84,2385,30,USA
58,1755,39.1,Japan
64,1875,39,USA
60,1760,35.1,Japan
67,2065,32.3,Japan
65,1975,37,Japan
62,2050,37.7,Japan
68,1985,34.1,Japan
63,2215,34.7,USA
65,2045,34.4,USA
65,2380,29.9,USA
74,2190,33,Germany
NaN,2320,34.5,France
75,2210,33.7,Japan
75,2350,32.4,Japan
100,2615,32.9,Japan
74,2635,31.6,Japan
80,3230,28.1,France
110,2800,NaN,Sweden
76,3160,30.7,Sweden
116,2900,25.4,Japan
120,2930,24.2,Japan
110,3415,22.4,USA
105,3725,26.6,USA
88,3060,20.2,USA
85,3465,17.6,USA
88,2605,28,USA
88,2640,27,USA
88,2395,34,USA
85,2575,31,USA
84,2525,29,USA
90,2735,27,USA
92,2865,24,USA
NaN,3035,23,USA
74,1980,36,Germany
68,2025,37,Japan
68,1970,31,Japan
63,2125,38,USA
70,2125,36,USA
88,2160,36,Japan
75,2205,36,Japan
70,2245,34,Japan
67,1965,38,Japan
67,1965,32,Japan
67,1995,38,Japan
110,2945,25,USA
85,3015,38,USA
92,2585,26,USA
112,2835,22,USA
96,2665,32,Japan
84,2370,36,USA
90,2950,27,USA
86,2790,27,USA
52,2130,44,Germany
84,2295,32,USA
79,2625,28,USA
82,2720,31,USA
